,kmp.id.nospace,mom.id,litter,sex,X3.way,age.months.cont,group.size,location1,am.pm,obs.time.hr,i.aggr.all,Total.monthly.rainfall
1356,CT,AAX,AABG,F,Dominant control,2,12,forage,am,0.32944,3,36.199993
1357,CU,AAX,AABG,F,Dominant control,1.9,12,forage,am,0.32583,1,45.799989
1358,BX,AAT,AAAZ,M,Dominant control,2,34,burrow,am,0.01472,0,9
1359,BY,AAT,AAAZ,M,Dominant control,2,34,forage,am,0.37111,4,9
1360,BZ,AAT,AAAZ,M,Dominant control,2.1,34,burrow,am,0.03972,0,12.6
1361,CV,AAX,AABG,M,Dominant control,2,12,burrow,am,0.08056,0,36.199993
1362,CA,AAU,AABA,F,Subordinate control,1.8,25,forage,am,0.25139,1,11.999999
1363,CB,AAU,AABA,F,Subordinate control,1.8,25,forage,am,0.25333,0,11.999999
1364,CE,AAU,AABA,F,Subordinate control,1.8,25,forage,am,0.245,1,11.999999
1365,CW,CB,AABH,F,Subordinate control,1.8,9,forage,am,0.30889,1,56.400107
1366,CC,AAU,AABA,M,Subordinate control,1.8,25,forage,am,0.25306,1,11.999999
1367,CX,CB,AABH,M,Subordinate control,1.9,9,burrow,am,0.09083,0,49.00011
1368,CY,CB,AABH,M,Subordinate control,1.9,9,burrow,am,0.09028,0,49.00011
1369,A,AAA,AAAA,F,Subordinate control,2.2,29,forage,am,0.34444,0,11.199999
1370,C,AAA,AAAA,M,Subordinate control,2.2,29,forage,am,0.34028,0,11.199999
1371,D,AAA,AAAA,M,Subordinate control,2.2,29,forage,am,0.38417,0,11.199999
1372,H,F,AAAC,F,Subordinate control,2,11,forage,am,0.29083,1,5.8
1373,I,AAC,AAAD,F,Dominant control,2.2,17,forage,am,0.34194,0,40.79999
1374,CF,AAB,AABC,M,Dominant control,2,32,forage,am,0.32056,1,4.2
1375,Q,F,AAAC,M,Subordinate control,2,11,burrow,am,0.07417,0,5.8
1376,L,F,AAAC,M,Subordinate control,2,11,forage,am,0.33611,0,5.8
1377,R,AAC,AAAD,M,Dominant control,2.2,17,forage,am,0.33944,3,40.79999
1378,S,AAC,AAAD,M,Dominant control,2.2,17,forage,am,0.34028,2,40.79999
1379,M,AAC,AAAD,M,Dominant control,2.2,17,forage,am,0.32778,0,40.79999
1380,N,AAC,AAAE,M,Dominant treated,2.1,20,forage,pm,0.25278,0,5.8
1381,T,AAC,AAAE,M,Dominant treated,2.2,20,forage,pm,0.24861,0,5.4
1382,O,AAC,AAAE,M,Dominant treated,2.1,20,forage,pm,0.21083,0,5.8
1383,P,AAC,AAAE,M,Dominant treated,2.1,20,forage,am,0.32278,0,5.8
1384,CG,AR,AABD,F,Subordinate control,1.9,22,forage,pm,0.25528,0,13.999998
1385,CH,AR,AABD,M,Subordinate control,1.9,22,forage,pm,0.25722,0,13.999998
1386,X,AAD,AAAF,F,Dominant control,1.9,5,forage,am,0.34333,0,2.6
1387,Y,AAE,AAAG,F,Dominant treated,2.1,15,forage,am,0.33556,0,10.2
1388,Z,AAE,AAAG,F,Dominant treated,2.1,15,forage,am,0.25694,1,10.2
1389,AA,AAE,AAAH,F,Dominant control,1.7,15,forage,am,0.32528,5,9.000001
